State,Oil,Rubber,Aluminum,Tungsten,Steel,Chromium
France,0,0,0,0,0,0
Poland,0,0,0,0,0,0
Iceland,0,0,0,0,0,0
East Azerbaijan,0,0,0,0,6,0
Kurdistan,0,0,0,0,0,0
Yazd,0,0,0,0,0,0
South Khorasan,0,0,0,0,0,0
North Khorasan,0,0,0,0,0,0
Qataghan,0,0,0,0,0,3
Khyber Pass,0,0,0,0,0,0
Maymanah,0,0,0,0,2,0
Qandahar,0,0,0,0,0,0
Farah,0,0,0,0,0,7
Greenland,0,0,10,0,0,0
Al Anbar,3,0,0,0,0,0
Al Basrah,0,0,7,0,4,0
Kalat,0,0,0,0,0,0
Musamdam,1,0,0,0,0,0
Bahrain,0,0,0,0,0,0
Interior Oman,2,0,0,0,0,0
Dhofar,0,0,0,0,0,0
North-Eastern Slovenia,0,0,0,0,0,0
Croatia,0,0,0,0,0,0
Bosnia,0,0,7,0,0,0
Montenegro,0,0,70,0,0,20
Macedonia,0,0,10,0,0,50
Kosavo,0,0,0,0,0,0
Eastern Serbia,0,0,0,0,3,0
Eastern Croatia,0,0,0,0,0,0
Kaunas,0,0,0,0,0,0
Norway,0,0,0,0,0,0
Uusima,0,0,0,0,0,0
Lisbon,0,0,0,32,0,0
Ireland,0,0,0,0,2,0
Sardinia,0,0,0,0,0,0
Sicily,0,0,0,0,0,0
Malta,0,0,0,0,0,0
Napoli,0,0,10,0,15,0
Gibralter,0,0,0,0,0,0
Northern Ireland,0,0,2,0,0,0
Latvia,0,0,0,0,1,0
Scottish Highlands,0,0,9,16,0,1
Scottish Lowlands,0,0,0,0,0,0
Wales,0,0,3,0,11,0
Cornwall,0,0,0,0,0,0
Gotland,0,0,0,0,0,0
East Anglia,0,0,0,0,0,0
Greater London Area,0,0,0,0,0,0
South-east England,0,0,0,0,0,0
West Midlands,0,0,0,0,27,0
East Midlands,0,0,0,0,11,0
Estonia,0,0,0,0,2,0
Yorkshire,0,0,0,0,71,0
Northern England,0,0,0,0,18,0
North-west England,0,0,2,0,31,0
Strathclyde,0,0,0,0,21,0
Connaught,0,0,0,0,0,0
Munster,0,0,0,0,0,0
Aberdeenshire,0,0,3,4,0,0
Crimea,0,0,0,0,0,0
Skane,0,0,0,0,0,0
Smaland,0,0,0,0,4,0
Brittany,0,0,0,0,0,0
Vaster Gotland,0,0,0,0,2,0
Sodermanland,0,0,2,0,24,0
Vestlandet,0,0,10,0,0,1
Midt-Noreg,0,0,0,0,0,0
Nord-Noreg,0,0,0,0,6,0
Aland,0,0,0,0,0,0
Karelia,0,0,0,0,0,0
Salla,0,0,0,0,0,0
Lappi,0,0,0,0,7,2
Vaasa,0,0,0,0,0,0
Normandy,0,0,0,0,21,0
Kuopio,0,0,0,0,3,0
Eastern Swiss Alps,0,0,15,0,0,0
Upper Austria,0,0,1,0,15,0
Tyrol,0,0,0,0,0,0
Southern plain,0,0,0,0,0,0
Western Hungary,0,0,40,0,0,0
Calabria,0,0,0,0,0,0
Abruzzo,0,0,0,0,0,0
Piedmont,0,0,16,1,24,2
Lombardy,0,0,0,0,0,0
Ile de France,0,0,0,0,0,0
Veneto,0,0,11,0,20,0
Emilia Romagna,0,0,9,0,0,0
Tuscany,0,0,0,0,0,0
Dalmatia,0,0,0,0,0,0
Dodecanese,0,0,0,0,0,0
Catalonia,0,0,0,0,0,0
Western Aragon,0,0,0,0,15,0
Valencia,0,0,0,0,0,0
Murcia,0,0,0,0,0,0
Sevilla,0,0,0,0,0,0
Alcase Lorraine,0,0,0,0,28,0
Extremadura,0,0,0,4,0,0
Galicia,0,0,0,0,0,0
Navarre,0,0,0,0,0,0
Granada,0,0,0,0,8,0
Leon,0,0,0,10,0,0
Ciudad Real,0,0,0,0,0,0
Burgos,0,0,0,0,0,0
Balearic Islands,0,0,0,0,0,0
Canary islands,0,0,0,0,0,0
Beja,0,0,0,0,0,0
Champagne,0,0,0,0,0,0
Porto,0,0,0,0,0,0
Guarda,0,0,0,95,0,0
Crete,0,0,0,0,0,0
Cyprus,0,0,0,0,0,3
Thrace,0,0,0,0,0,11
Epirus,0,0,0,0,14,14
Peloponnese,0,0,0,0,0,0
Aegean Islands,0,0,0,0,0,7
Memel,0,0,0,0,0,0
Kaunas,0,0,0,0,2,0
Aquitaine,0,0,11,0,14,0
Kurzeme,0,0,0,0,0,0
Tartu,0,0,0,0,0,0
Odessa,0,0,0,0,0,0
Kiev,0,0,0,0,0,0
Pinsk Marches,0,0,0,0,0,0
Leningrad Area,0,0,0,0,0,0
Kherson,0,0,0,0,0,15
Mykolaiv,0,0,0,0,0,0
Vinnytsia,0,0,0,0,0,0
Khmelnytskyi,0,0,0,0,0,0
Italy,0,0,0,0,0,0
Franche-comte,0,0,35,0,32,0
Rivne,0,0,0,0,0,0
Zhytomyr,0,0,0,0,0,0
Western Kiev,8,0,7,0,0,0
Cherkasy,0,0,0,0,0,0
Brest,0,0,0,0,0,0
Hrodna,0,0,0,0,0,0
Minsk,0,0,0,0,0,0
Viciebsk,0,0,0,0,0,0
Pskov,0,0,0,0,0,0
Smolensk,0,0,0,0,0,0
Bouches-du-Rhone,0,0,60,0,0,0
Bryansk,0,0,0,0,0,0
Burgas,0,0,0,0,0,0
Plovdiv,0,0,0,0,0,1
Murmansk,0,0,0,0,14,12
Arkhangelsk,0,0,0,0,0,0
Eastern Karelia,0,0,0,0,30,0
Below Zero,0,0,0,0,0,0
Stalingrad Area,0,0,0,0,0,0
Rostov Area,0,0,0,0,0,0
Moscow Area,0,0,0,0,16,0
Roussillion,0,0,50,0,27,0
Kursk Area,0,0,0,0,0,0
Kharkov,0,0,0,0,33,0
Orel,0,0,0,0,40,8
tula,0,0,0,0,0,0
Bryansk,0,0,0,0,0,0
Glukhov,0,0,0,0,0,0
Nikopol,4,0,0,0,0,0
Stalino,0,0,0,0,0,0
Taganrog,0,0,0,0,0,0
baku,70,0,0,0,0,0
Poitou,0,0,0,0,12,0
Armenia,0,0,0,0,0,0
Georgia,0,0,0,0,0,0
Grozny,10,0,0,0,0,0
Caucasus Mountains,0,0,0,0,0,18
Krasodar,12,0,0,17,0,0
Stravropol,0,0,0,0,0,14
Astrakhan,0,0,0,0,0,0
Elista,0,0,0,0,0,0
volgodonsk,0,0,0,0,0,0
Saratov,0,0,0,0,0,0
Centre,0,0,0,0,0,0
Voronezh,0,0,0,0,0,0
Pochep,0,0,0,0,0,0
Smolensk,0,0,0,0,0,0
Roslavl,0,0,0,0,0,0
Gatchina,0,0,0,0,0,0
Donetsk,0,0,0,0,0,0
Rzhev,0,0,0,0,16,0
Tver,0,0,0,0,0,0
Yaroslavl,0,0,0,0,0,0
Kazan,0,0,0,0,25,0
Limousin,0,0,0,0,0,0
ulyanovsky,0,0,0,0,14,0
Samara,0,0,0,0,0,0
Nizhny Novogrod,0,0,0,0,0,0
Ivanovo,0,0,0,0,0,0
Ryazan,0,0,0,0,0,0
Penza,0,0,0,0,0,0
Cheboksary,0,0,0,0,0,0
Livny,0,0,0,0,0,7
lipetsk,0,0,0,0,0,0
Liski,0,0,0,0,0,0
Bourgogne,0,0,0,0,0,0
Borisoglbsk,0,0,0,0,0,0
USA,0,0,9,0,28,0
Torzhok,7,0,0,0,0,0
Veliky Novogrod,0,0,0,0,0,0
Tikhvin,0,0,0,0,0,0
Mikhaylovka,0,0,0,0,0,0
Persia,0,0,2,2,0,0
Afghanistan,0,0,0,3,2,2
French Somaliland,0,0,0,0,0,0
British Somaliland,0,0,0,0,0,0
Champagne2,0,0,11,0,0,0
Pitcarin Island,0,0,0,0,0,0
ethiopia,0,2,0,0,0,0
French Africa,0,0,0,0,3,0
Italian Africa,0,0,0,0,0,0
British Africa,0,0,0,8,8,4
South Africa,0,0,0,0,11,53
Canada,0,0,0,0,0,0
Mexico,0,0,0,0,6,0
Argentina,0,0,0,0,0,0
Chile,0,0,0,8,14,4
Alcase,0,0,0,0,42,0
Brazil,0,0,0,0,0,0
India,0,0,0,0,0,0
Japan,0,0,1,0,0,0
China,0,0,0,1,0,0
New Zealand,0,0,0,0,0,0
Austraila,0,0,0,0,0,0
Indochina,0,55,0,0,0,0
Sinkiang,0,0,0,0,0,0
